ref_no,cite_key,authors,year,title,venue,volume_issue,pages_or_article,doi,url,verification_source,verification_status,adjacent_claim_supported,prohibited_inference,accessed_date
1,Suyanto2020IndonesianASR,"Suyanto; A. Arifianto; A. Sirwan; A. P. Rizaendra",2020,End-to-End Speech Recognition Models for a Low-Resourced Indonesian Language,2020 8th International Conference on Information and Communication Technology (ICoICT),,1-6,10.1109/ICoICT49345.2020.9166346,https://doi.org/10.1109/ICoICT49345.2020.9166346,Crossref DOI record,verified,Prior Indonesian end-to-end ASR research exists,Does not establish NSS-ID novelty or current Indonesian SOTA,2026-07-22
2,Ardila2020CommonVoice,"R. Ardila; M. Branson; K. Davis; M. Kohler; J. Meyer; M. Henretty; R. Morais; L. Saunders; F. Tyers; G. Weber",2020,Common Voice: A Massively-Multilingual Speech Corpus,Proceedings of the Twelfth Language Resources and Evaluation Conference,,4218-4222,,https://aclanthology.org/2020.lrec-1.520/,ACL Anthology primary record,verified,Comparable multilingual transcribed-speech corpus and documentation example,Does not establish comparability of consent population prompts or licence with NSS-ID,2026-07-22
3,Conneau2023FLEURS,"A. Conneau; M. Ma; S. Khanuja; Y. Zhang; V. Axelrod; S. Dalmia; J. Riesa; C. Rivera; A. Bapna",2023,FLEURS: FEW-Shot Learning Evaluation of Universal Representations of Speech,2022 IEEE Spoken Language Technology Workshop (SLT),,798-805,10.1109/SLT54892.2023.10023141,https://doi.org/10.1109/SLT54892.2023.10023141,Crossref DOI record,verified,Comparable multilingual speech evaluation resource,Does not establish NSS-ID unseen-language or cross-lingual generalization,2026-07-22
4,Wilkinson2016FAIR,"M. D. Wilkinson et al.",2016,The FAIR Guiding Principles for scientific data management and stewardship,Scientific Data,3(1),160018,10.1038/sdata.2016.18,https://doi.org/10.1038/sdata.2016.18,Publisher page and Crossref DOI record,verified,Findability accessibility interoperability reusability provenance and machine-actionable metadata principles,FAIR does not mean unrestricted public access and does not close NSS-ID rights or consent,2026-07-22
5,Gebru2021Datasheets,"T. Gebru; J. Morgenstern; B. Vecchione; J. Wortman Vaughan; H. Wallach; H. Daumé III; K. Crawford",2021,Datasheets for datasets,Communications of the ACM,64(12),86-92,10.1145/3458723,https://doi.org/10.1145/3458723,Crossref DOI record,verified,Structured documentation of dataset motivation composition collection preprocessing uses and limitations,Does not validate the content or ethics of this dataset by itself,2026-07-22
6,Atika2026ModifiedTransformer,"R. Atika; S. Dwijayanti; B. Y. Suprapto",2026,Improving speech-to-text for the Indonesian language using a modified transformer,Eastern-European Journal of Enterprise Technologies,1(9 (139)),78-90,10.15587/1729-4061.2026.350949,https://doi.org/10.15587/1729-4061.2026.350949,Publisher page Crossref DOI record and version-of-record PDF,verified,Prior model article using an earlier NSS-ID corpus state and modified Transformer family,Article DOI is not a dataset DOI; prior claims are not automatically authoritative for current ethics demographics methods or release rights,2026-07-22
7,Kudo2018SentencePiece,"T. Kudo; J. Richardson",2018,SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,,66-71,10.18653/v1/D18-2012,https://doi.org/10.18653/v1/D18-2012,Crossref DOI record and ACL Anthology destination,verified,SentencePiece method reference for model recipes that actually use it,Does not imply one tokenizer or vocabulary was shared by all nine models,2026-07-22
8,Radford2023Whisper,"A. Radford; J. W. Kim; T. Xu; G. Brockman; C. McLeavey; I. Sutskever",2023,Robust Speech Recognition via Large-Scale Weak Supervision,Proceedings of the 40th International Conference on Machine Learning / PMLR,202,28492-28518,,https://proceedings.mlr.press/v202/radford23a.html,PMLR primary proceedings record,verified,Whisper model-family and large-scale weak-supervision reference,Does not establish external Indonesian SOTA or fairness of comparison with locally trained models,2026-07-22
9,Gulati2020Conformer,"A. Gulati; J. Qin; C.-C. Chiu; N. Parmar; Y. Zhang; J. Yu; W. Han; S. Wang; Z. Zhang; Y. Wu; R. Pang",2020,Conformer: Convolution-augmented Transformer for Speech Recognition,Interspeech 2020,,5036-5040,10.21437/Interspeech.2020-3015,https://doi.org/10.21437/Interspeech.2020-3015,Crossref DOI and ISCA destination,verified,Conformer model-family reference,Does not establish controlled comparability or superiority in the NSS-ID benchmark,2026-07-22
10,Graves2006CTC,"A. Graves; S. Fernández; F. Gomez; J. Schmidhuber",2006,Connectionist temporal classification: Labelling unsegmented sequence data with recurrent neural networks,Proceedings of the 23rd International Conference on Machine Learning,,369-376,10.1145/1143844.1143891,https://doi.org/10.1145/1143844.1143891,Crossref DOI record,verified,CTC objective reference for recipes that use CTC,Does not establish identical decoding or scoring across CTC models,2026-07-22
