anonymized_speaker_id,speaker_gender,split,file_count,real_files,synthetic_files,duration_sec,duration_hours
M1,Male,train,5225,5208,17,20774.0815,5.7706
M2,Male,train,5225,5210,15,23498.278,6.5273
M3,Male,dev,5225,5223,2,24054.3173,6.6818
M4,Male,test,5225,5225,0,23182.6993,6.4396
M5,Male,dev,5225,5222,3,23685.7505,6.5794
M6,Male,train,5225,5218,7,28352.7158,7.8758
M7,Male,train,5225,5215,10,21295.7244,5.9155
M8,Male,train,5225,5213,12,22590.6632,6.2752
M9,Male,dev,5225,5222,3,25328.8854,7.0358
M10,Male,train,5225,5221,4,25049.8242,6.9583
M11,Male,test,5225,5225,0,22011.9246,6.1144
F1,Female,train,5225,5219,6,22291.1055,6.192
F2,Female,train,5225,5218,7,28011.548,7.781
F3,Female,train,5225,5217,8,25947.1757,7.2075
F4,Female,train,5225,5217,8,26863.3644,7.462
F5,Female,train,5225,5221,4,23700.7232,6.5835
F6,Female,train,5225,5221,4,24994.1939,6.9428
F7,Female,test,5225,5223,2,22973.7709,6.3816
F8,Female,train,5225,5211,14,25087.833,6.9688
F9,Female,train,5225,5219,6,23339.9194,6.4833
