speaker_id,speaker_type,speaker_gender,split
F1,human,Female,train
F2,human,Female,train
F3,human,Female,train
F4,human,Female,train
F5,human,Female,train
F6,human,Female,train
F7,human,Female,train
F8,human,Female,train
M1,human,Male,train
M2,human,Male,train
M3,human,Male,val
M4,human,Male,test
M5,human,Male,val
M6,human,Male,train
M7,human,Male,train
M8,human,Male,test
M9,human,Male,train
M10,human,Male,val
M11,human,Male,train
M12,human,Male,test
Fs1,synthetic,Female,train
Fs2,synthetic,Female,train
Fs3,synthetic,Female,train
Fs4,synthetic,Female,train
Fs5,synthetic,Female,train
Fs6,synthetic,Female,train
Fs7,synthetic,Female,test
Fs8,synthetic,Female,train
Fs9,synthetic,Female,train
Ms1,synthetic,Male,train
Ms2,synthetic,Male,train
Ms3,synthetic,Male,val
Ms4,synthetic,Male,val
Ms5,synthetic,Male,train
Ms6,synthetic,Male,train
Ms7,synthetic,Male,train
Ms8,synthetic,Male,val
Ms9,synthetic,Male,train
