synthetic_voice_id,repair_target_speaker_id,speaker_gender,target_split,synthetic_file_count,synthetic_duration_sec,synthetic_duration_hours
Af-s,Af,Male,train,17,66.816,0.0186
Ai-s,Ai,Male,dev,2,6.024,0.0017
An-s,An,Female,train,6,30.288,0.0084
Ar-s,Ar,Male,train,15,62.16,0.0173
At-s,At,Female,train,7,39.432,0.011
Be-s,Be,Female,train,8,52.488,0.0146
El-s,El,Female,train,8,46.632,0.013
Er-s,Er,Female,train,4,25.656,0.0071
Fa-s,Fa,Male,dev,3,8.784,0.0024
Fi-s,Fi,Male,train,7,29.04,0.0081
Ha-s,Ha,Male,train,10,49.08,0.0136
In-s,In,Female,train,4,27.048,0.0075
Jo-s,Jo,Female,test,2,11.712,0.0033
Mu-s,Mu,Male,train,12,49.848,0.0138
Na-s,Na,Female,train,14,77.808,0.0216
Pr-s,Pr,Male,dev,3,13.056,0.0036
Ri-s,Ri,Male,train,4,13.392,0.0037
Ul-s,Ul,Female,train,6,23.256,0.0065
