speaker_id,speaker_type,speaker_gender,split,repair_target_speaker_id,repair_target_speaker_gender,voice_gender_matches_target,file_count,real_files,synthetic_files,duration_sec,duration_hours
F1,human,Female,train,,,,5219,5219,0,22260.8175,6.1836
F2,human,Female,train,,,,5218,5218,0,27972.116,7.77
F3,human,Female,train,,,,5217,5217,0,25894.6877,7.193
F4,human,Female,train,,,,5217,5217,0,26816.7324,7.4491
F5,human,Female,train,,,,5221,5221,0,23675.0672,6.5764
F6,human,Female,train,,,,5221,5221,0,24967.1459,6.9353
F7,human,Female,train,,,,5211,5211,0,25010.025,6.9472
F8,human,Female,train,,,,5219,5219,0,23316.6634,6.4769
Fs1,synthetic,Female,train,F1,Female,True,6,0,6,30.288,0.0084
Fs2,synthetic,Female,train,F2,Female,True,7,0,7,39.432,0.011
Fs3,synthetic,Female,train,F3,Female,True,8,0,8,52.488,0.0146
Fs4,synthetic,Female,train,F4,Female,True,8,0,8,46.632,0.013
Fs5,synthetic,Female,train,F5,Female,True,4,0,4,25.656,0.0071
Fs6,synthetic,Female,train,F6,Female,True,4,0,4,27.048,0.0075
Fs7,synthetic,Female,test,M8,Male,False,2,0,2,11.712,0.0033
Fs8,synthetic,Female,train,F7,Female,True,14,0,14,77.808,0.0216
Fs9,synthetic,Female,train,F8,Female,True,6,0,6,23.256,0.0065
M1,human,Male,train,,,,5208,5208,0,20707.2655,5.752
M10,human,Male,dev,,,,5222,5222,0,25315.8294,7.0322
M11,human,Male,train,,,,5221,5221,0,25036.4322,6.9546
M12,human,Male,test,,,,5225,5225,0,22011.9246,6.1144
M2,human,Male,train,,,,5210,5210,0,23436.118,6.51
M3,human,Male,dev,,,,5223,5223,0,24048.2933,6.6801
M4,human,Male,test,,,,5225,5225,0,23182.6993,6.4396
M5,human,Male,dev,,,,5222,5222,0,23676.9665,6.5769
M6,human,Male,train,,,,5218,5218,0,28323.6758,7.8677
M7,human,Male,train,,,,5215,5215,0,21246.6444,5.9018
M8,human,Male,test,,,,5223,5223,0,22962.0589,6.3783
M9,human,Male,train,,,,5213,5213,0,22540.8152,6.2613
Ms1,synthetic,Male,train,M1,Male,True,17,0,17,66.816,0.0186
Ms2,synthetic,Male,train,M2,Male,True,15,0,15,62.16,0.0173
Ms3,synthetic,Male,dev,M3,Male,True,2,0,2,6.024,0.0017
Ms4,synthetic,Male,dev,M5,Male,True,3,0,3,8.784,0.0024
Ms5,synthetic,Male,train,M6,Male,True,7,0,7,29.04,0.0081
Ms6,synthetic,Male,train,M7,Male,True,10,0,10,49.08,0.0136
Ms7,synthetic,Male,train,M9,Male,True,12,0,12,49.848,0.0138
Ms8,synthetic,Male,dev,M10,Male,True,3,0,3,13.056,0.0036
Ms9,synthetic,Male,train,M11,Male,True,4,0,4,13.392,0.0037
