source_path,hf_target_path,decision,reason,privacy_action
reports/dataset_statistics_v7_paper9/README.md,paper/dataset_information/README_paper_clean_stats.md,include_as_is,Explains curated paper-clean statistics package,text-scan before upload
reports/dataset_statistics_v7_paper9/stats/word_frequency.csv,paper/dataset_information/word_frequency.csv,include_as_is,Word distribution / vocabulary analysis,text-scan before upload
reports/dataset_statistics_v7_paper9/stats/per_category.csv,paper/dataset_information/per_category.csv,include_as_is,Category counts and durations,text-scan before upload
reports/dataset_statistics_v7_paper9/stats/per_split.csv,paper/dataset_information/per_split.csv,include_as_is,Train/dev/test summary,text-scan before upload
reports/dataset_statistics_v7_paper9/stats/statistical_tests.csv,paper/dataset_information/statistical_tests.csv,include_as_is,Compact statistical evidence,text-scan before upload
reports/dataset_statistics_v7_paper9/synthetic_data_report/synthetic_per_category.csv,paper/dataset_information/synthetic_per_category.csv,include_as_is,Synthetic disclosure by category,text-scan before upload
Processed_Balanced19_v3/reports/build_summary.json,provenance/processed_balanced19_v3/build_summary.json,include_as_is,Build count summary,text-scan before upload
Processed_Balanced19_v3/reports/output_verify.json,provenance/processed_balanced19_v3/output_verify.json,include_as_is,Output verification summary,text-scan before upload
Processed_Balanced19_v3/reports/PROCESS_SUMMARY.txt,provenance/processed_balanced19_v3/PROCESS_SUMMARY.txt,include_as_is,Human-readable processing summary,text-scan before upload
Processed_Balanced19_v3/reports/PROCESS_REPORT.md,provenance/processed_balanced19_v3/PROCESS_REPORT.md,include_as_is,Processing report,text-scan before upload
Processed_Balanced19_v3/reports/transcript_map.json,provenance/processed_balanced19_v3/transcript_map.json,include_as_is,Transcript/category map,text-scan before upload
reports/dataset_statistics_v7_paper9/figures/F2_duration_per_category.pdf,paper/dataset_information/figures/F2_duration_per_category.pdf,include_as_is,Category duration figure,visual/text scan before upload
reports/dataset_statistics_v7_paper9/figures/F4_sentence_length.pdf,paper/dataset_information/figures/F4_sentence_length.pdf,include_as_is,Sentence length distribution,visual/text scan before upload
reports/dataset_statistics_v7_paper9/figures/F5_word_frequency_pareto.pdf,paper/dataset_information/figures/F5_word_frequency_pareto.pdf,include_as_is,Word frequency Pareto figure,visual/text scan before upload
reports/dataset_statistics_v7_paper9/figures/F6_heaps_law.pdf,paper/dataset_information/figures/F6_heaps_law.pdf,include_as_is,Vocabulary growth / Heaps law,visual/text scan before upload
reports/dataset_statistics_v7_paper9/figures/F8_cumulative_hours.pdf,paper/dataset_information/figures/F8_cumulative_hours.pdf,include_as_is,Cumulative hours figure,visual/text scan before upload
reports/dataset_statistics_v7_paper9/figures/F9_audio_uniformity.pdf,paper/dataset_information/figures/F9_audio_uniformity.pdf,include_as_is,Audio format uniformity figure,visual/text scan before upload
reports/dataset_statistics_v7_paper9/figures/F10_synthetic_disclosure.pdf,paper/dataset_information/figures/F10_synthetic_disclosure.pdf,include_as_is,Synthetic disclosure figure,visual/text scan before upload
reports/dataset_statistics_v7_paper9/figures/F12_audio_quality.pdf,paper/dataset_information/figures/F12_audio_quality.pdf,include_as_is,Audio quality figure,visual/text scan before upload
reports/dataset_statistics_v7_paper9/synthetic_data_report/figures/S1_synth_per_category_voice.pdf,paper/dataset_information/figures/S1_synth_per_category_voice.pdf,include_as_is,Synthetic category/voice figure,visual/text scan before upload
reports/dataset_statistics_v7_paper9/synthetic_data_report/figures/S2_synth_fraction_per_category.pdf,paper/dataset_information/figures/S2_synth_fraction_per_category.pdf,include_as_is,Synthetic fraction by category,visual/text scan before upload
reports/dataset_statistics_v7_paper9/synthetic_data_report/figures/S3_synth_split_per_category.pdf,paper/dataset_information/figures/S3_synth_split_per_category.pdf,include_as_is,Synthetic split/category figure,visual/text scan before upload
reports/dataset_statistics_v7_paper9/synthetic_data_report/figures/S4_synth_quality.pdf,paper/dataset_information/figures/S4_synth_quality.pdf,include_as_is,Synthetic quality figure,visual/text scan before upload
reports/dataset_statistics_v7_paper9/stats/dataset_stats.json,paper/dataset_information/anonymized_or_regenerated/dataset_stats_public.json,anonymize_or_regenerate,Contains original speaker names,replace with M/F/Ms/Fs labels and clarify 102544 vs 104500 scope
reports/dataset_statistics_v7_paper9/stats/per_speaker.csv,paper/dataset_information/anonymized_or_regenerated/per_speaker_public.csv,anonymize_or_regenerate,Contains original speaker names,replace speaker column with M/F labels
reports/dataset_statistics_v7_paper9/stats/audio_quality_sample.csv,paper/dataset_information/anonymized_or_regenerated/audio_quality_sample_public.csv,anonymize_or_regenerate,Contains original speaker names and sample paths,replace labels and relative HF paths
reports/dataset_statistics_v7_paper9/synthetic_data_report/synthetic_data_stats.json,paper/dataset_information/anonymized_or_regenerated/synthetic_data_stats_public.json,anonymize_or_regenerate,Contains original speaker names,replace with Ms/Fs and repair_target_speaker_id
reports/dataset_statistics_v7_paper9/figures/F1_files_per_speaker_split.pdf,paper/dataset_information/figures_public/F1_files_per_speaker_split_public.pdf,regenerate,Per-speaker labels likely original names,regenerate with public labels
reports/dataset_statistics_v7_paper9/figures/F3_speaker_total_duration.pdf,paper/dataset_information/figures_public/F3_speaker_total_duration_public.pdf,regenerate,Per-speaker labels likely original names,regenerate with public labels
reports/dataset_statistics_v7_paper9/figures/F7_speaker_category_heatmap.pdf,paper/dataset_information/figures_public/F7_speaker_category_heatmap_public.pdf,regenerate,Per-speaker labels likely original names,regenerate with public labels
reports/dataset_statistics_v7_paper9/figures/F11_mel_spectrogram_exemplars.pdf,paper/dataset_information/figures_public/F11_mel_spectrogram_exemplars_public.pdf,manual_review_or_regenerate,Exemplar labels need visual privacy review,regenerate or manually inspect
Processed_Balanced19_v3/reports/build_take_audit.csv,,exclude_public,Contains detailed paths/original names and is noisy,do not upload public
Processed_Balanced19_v3/reports/dataset_take_audit.csv,,exclude_public,Contains detailed paths/original names and is noisy,do not upload public
Processed_Balanced19_v3/reports/output_take_verify.csv,,exclude_public,Contains detailed paths/original names and is noisy,do not upload public
Whisper_Verification_Sessions/session_20260530_125618_dataset_stats_v7_paper9/,,exclude_public_duplicate,Duplicate working session of curated reports folder,prefer curated reports/dataset_statistics_v7_paper9
