synthetic_voice_id,repair_target_speaker_id,speaker_gender,repair_target_speaker_gender,voice_gender_matches_target,target_split,synthetic_file_count,synthetic_duration_sec,synthetic_duration_hours
Fs1,F1,Female,Female,True,train,6,30.288,0.0084
Fs2,F2,Female,Female,True,train,7,39.432,0.011
Fs3,F3,Female,Female,True,train,8,52.488,0.0146
Fs4,F4,Female,Female,True,train,8,46.632,0.013
Fs5,F5,Female,Female,True,train,4,25.656,0.0071
Fs6,F6,Female,Female,True,train,4,27.048,0.0075
Fs7,M8,Female,Male,False,test,2,11.712,0.0033
Fs8,F7,Female,Female,True,train,14,77.808,0.0216
Fs9,F8,Female,Female,True,train,6,23.256,0.0065
Ms1,M1,Male,Male,True,train,17,66.816,0.0186
Ms2,M2,Male,Male,True,train,15,62.16,0.0173
Ms3,M3,Male,Male,True,dev,2,6.024,0.0017
Ms4,M5,Male,Male,True,dev,3,8.784,0.0024
Ms5,M6,Male,Male,True,train,7,29.04,0.0081
Ms6,M7,Male,Male,True,train,10,49.08,0.0136
Ms7,M9,Male,Male,True,train,12,49.848,0.0138
Ms8,M10,Male,Male,True,dev,3,13.056,0.0036
Ms9,M11,Male,Male,True,train,4,13.392,0.0037
