speaker_id,speaker_gender,repair_target_speaker_id,repair_target_speaker_gender,voice_gender_matches_target,split,category,duration_sec
Ms2,Male,M2,Male,True,train,Kalimat_Deklaratif,3.84
Fs4,Female,F4,Female,True,train,Kalimat_Deklaratif,5.064
Ms2,Male,M2,Male,True,train,Kalimat_Klarifikasi,3.864
Ms2,Male,M2,Male,True,train,Kalimat_Klarifikasi,3.864
Fs1,Female,F1,Female,True,train,Kalimat_Klarifikasi,4.944
Fs1,Female,F1,Female,True,train,Kalimat_Klarifikasi,4.944
Fs1,Female,F1,Female,True,train,Kalimat_Klarifikasi,4.584
Fs3,Female,F3,Female,True,train,Kalimat_Klarifikasi,4.464
Fs3,Female,F3,Female,True,train,Kalimat_Klarifikasi,6.48
Fs4,Female,F4,Female,True,train,Kalimat_Klarifikasi,5.304
Fs4,Female,F4,Female,True,train,Kalimat_Klarifikasi,6.48
Ms1,Male,M1,Male,True,train,Kalimat_Kondisional,4.68
Ms1,Male,M1,Male,True,train,Kalimat_Kondisional,5.496
Ms1,Male,M1,Male,True,train,Kalimat_Kondisional,3.936
Ms1,Male,M1,Male,True,train,Kalimat_Kondisional,5.496
Ms2,Male,M2,Male,True,train,Kalimat_Kondisional,5.496
Fs3,Female,F3,Female,True,train,Kalimat_Kondisional,7.896
Fs3,Female,F3,Female,True,train,Kalimat_Kondisional,6.984
Fs5,Female,F5,Female,True,train,Kalimat_Kondisional,7.2
Fs5,Female,F5,Female,True,train,Kalimat_Kondisional,6.984
Ms5,Male,M6,Male,True,train,Kalimat_Kondisional,4.44
Ms5,Male,M6,Male,True,train,Kalimat_Kondisional,5.496
Ms6,Male,M7,Male,True,train,Kalimat_Kondisional,3.936
Ms6,Male,M7,Male,True,train,Kalimat_Kondisional,5.496
Fs8,Female,F7,Female,True,train,Kalimat_Kondisional,6.6
Fs8,Female,F7,Female,True,train,Kalimat_Kondisional,7.2
Fs8,Female,F7,Female,True,train,Kalimat_Kondisional,6.984
Ms1,Male,M1,Male,True,train,Kalimat_Konfirmasi,3.744
Ms1,Male,M1,Male,True,train,Kalimat_Konfirmasi,4.8
Ms2,Male,M2,Male,True,train,Kalimat_Konfirmasi,4.224
Ms2,Male,M2,Male,True,train,Kalimat_Konfirmasi,4.8
Ms2,Male,M2,Male,True,train,Kalimat_Konfirmasi,4.8
Fs1,Female,F1,Female,True,train,Kalimat_Konfirmasi,6.12
Fs2,Female,F2,Female,True,train,Kalimat_Konfirmasi,5.448
Fs2,Female,F2,Female,True,train,Kalimat_Konfirmasi,5.832
Fs2,Female,F2,Female,True,train,Kalimat_Konfirmasi,6.12
Fs2,Female,F2,Female,True,train,Kalimat_Konfirmasi,6.648
Fs2,Female,F2,Female,True,train,Kalimat_Konfirmasi,6.12
Fs3,Female,F3,Female,True,train,Kalimat_Konfirmasi,6.12
Fs5,Female,F5,Female,True,train,Kalimat_Konfirmasi,5.352
Fs5,Female,F5,Female,True,train,Kalimat_Konfirmasi,6.12
Fs6,Female,F6,Female,True,train,Kalimat_Konfirmasi,6.216
Fs6,Female,F6,Female,True,train,Kalimat_Konfirmasi,6.12
Fs7,Female,M8,Male,False,test,Kalimat_Konfirmasi,5.592
Fs7,Female,M8,Male,False,test,Kalimat_Konfirmasi,6.12
Ms7,Male,M9,Male,True,train,Kalimat_Konfirmasi,4.92
Ms7,Male,M9,Male,True,train,Kalimat_Konfirmasi,4.8
Ms7,Male,M9,Male,True,train,Kalimat_Konfirmasi,4.224
Ms7,Male,M9,Male,True,train,Kalimat_Konfirmasi,4.8
Fs8,Female,F7,Female,True,train,Kalimat_Konfirmasi,5.664
Fs8,Female,F7,Female,True,train,Kalimat_Konfirmasi,6.12
Fs8,Female,F7,Female,True,train,Kalimat_Konfirmasi,6.12
