rank,word,freq
1,yang,26500
2,kamu,24000
3,apakah,21017
4,saya,20000
5,ini,20000
6,jika,18016
7,di,14517
8,untuk,14500
9,sudah,14500
10,kita,13521
11,akan,12511
12,tolong,11517
13,lebih,10010
14,dengan,9523
15,ke,8500
16,bisa,8010
17,tidak,8000
18,kampus,6500
19,itu,6500
20,jadwal,6000
21,semua,5517
22,palembang,5500
23,belajar,5500
24,dan,5500
25,tugas,5000
26,waktu,4011
27,banyak,4010
28,ada,4006
29,sistem,4000
30,mahasiswa,4000
31,minggu,4000
32,dari,4000
33,buat,4000
34,bukan,4000
35,depan,3500
36,ruang,3500
37,hari,3500
38,dalam,3500
39,cara,3006
40,kegiatan,3000
41,hasil,3000
42,adalah,3000
43,warga,3000
44,apa,3000
45,sama,3000
46,setiap,3000
47,praktikum,3000
48,atur,3000
49,ambilkan,3000
50,bukankah,3000
51,pastikan,2517
52,tempat,2500
53,kota,2500
54,kuliah,2500
55,dosen,2500
56,lingkungan,2500
57,harus,2500
58,laboratorium,2500
59,menjadi,2500
60,masyarakat,2500
61,bisakah,2500
62,sesuai,2500
63,semakin,2500
64,program,2500
65,data,2500
66,publik,2500
67,jadwalkan,2500
68,dimana,2500
69,ayo,2500
70,siapa,2500
71,berapa,2500
72,baik,2017
73,lab,2006
74,mata,2000
75,sangat,2000
76,yakin,2000
77,bahwa,2000
78,akhir,2000
79,bagian,2000
80,membantu,2000
81,ingin,2000
82,pendidikan,2000
83,rumah,2000
84,robot,2000
85,langkah,2000
86,baru,2000
87,makanan,2000
88,menyelesaikan,2000
89,siswa,2000
90,berkurang,2000
91,resmi,2000
92,laporan,2000
93,belum,2000
94,secara,2000
95,dasar,2000
96,remote,2000
97,penghapus,2000
98,letakkan,2000
99,meja,2000
100,pada,2000
101,menyenangkan,2000
102,rakyat,2000
103,keluarga,1511
104,terus,1510
105,membutuhkan,1500
106,sedang,1500
107,kelompok,1500
108,memberikan,1500
109,hidup,1500
110,generasi,1500
111,ujian,1500
112,dilaksanakan,1500
113,tinggi,1500
114,topik,1500
115,konfirmasi,1500
116,memastikan,1500
117,tersedia,1500
118,dimatikan,1500
119,saat,1500
120,tamu,1500
121,indralaya,1500
122,sore,1500
123,bekerja,1500
124,udara,1500
125,sekolah,1500
126,jawab,1500
127,fakultas,1500
128,pagi,1500
129,kendali,1500
130,luar,1500
131,botol,1500
132,antarkan,1500
133,spidol,1500
134,pak,1500
135,cangkir,1500
136,jelaskan,1500
137,sebelum,1500
138,coba,1500
139,seharusnya,1500
140,hebat,1500
141,berhasil,1500
142,kapan,1500
143,jangan,1011
144,masalah,1006
145,bagaimana,1006
146,kontrol,1000
147,membangun,1000
148,positif,1000
149,mendukung,1000
150,proses,1000
151,perlu,1000
152,mengatur,1000
153,menjaga,1000
154,semester,1000
155,universitas,1000
156,satu,1000
157,perguruan,1000
158,menyediakan,1000
159,fasilitas,1000
160,kelas,1000
161,paham,1000
162,perpustakaan,1000
163,referensi,1000
164,menjelaskan,1000
165,benar,1000
166,telah,1000
167,capai,1000
168,selesai,1000
169,memproses,1000
170,mengulang,1000
171,instruksi,1000
172,saja,1000
173,berikan,1000
174,atau,1000
175,berikutnya,1000
176,pintu,1000
177,suhu,1000
178,periksa,1000
179,pengaturan,1000
180,elektronik,1000
181,ruangan,1000
182,lampu,1000
183,pertemuan,1000
184,tadi,1000
185,masih,1000
186,punya,1000
187,cepat,1000
188,mereka,1000
189,mendapat,1000
190,informasi,1000
191,meningkat,1000
192,meningkatkan,1000
193,mengajar,1000
194,efektif,1000
195,menerapkan,1000
196,tepat,1000
197,pihak,1000
198,pembangunan,1000
199,mengurangi,1000
200,jalanan,1000
201,segar,1000
202,diri,1000
203,tentang,1000
204,kesehatan,1000
205,memiliki,1000
206,sekitar,1000
207,siap,1000
208,tantangan,1000
209,kerja,1000
210,peduli,1000
211,diterima,1000
212,seminar,1000
213,terbaru,1000
214,terakhir,1000
215,memeriksa,1000
216,dokumen,1000
217,menyiram,1000
218,tanaman,1000
219,pengumuman,1000
220,mengunggah,1000
221,pelayanan,1000
222,ulu,1000
223,suka,1000
224,pedas,1000
225,bantuan,1000
226,rapat,1000
227,memahami,1000
228,materi,1000
229,anggaran,1000
230,hanya,1000
