speaker_id,gender,n_files,total_duration_sec,total_duration_h,mean_duration_sec,median_duration_sec,std_duration_sec,min_duration_sec,max_duration_sec,n_categories,n_synthetic,split
M2,Male,5132,22931.1659,6.369768305555556,4.4682708300857366,4.49135,1.2740433789585763,1.6898,13.1056,11,15,train
M1,Male,5129,20230.2939,5.619526083333334,3.944295944628583,3.965,1.136242000117345,1.6758,9.0478,11,17,train
F7,Female,5129,24445.338,6.790371666666666,4.766102164164554,4.6908,1.4183986385884908,1.6987,11.0696,11,14,train
F3,Female,5129,25270.6933,7.019637027777778,4.927021505166699,4.7927,1.4876828679160843,1.6998,16.6077,11,8,train
M9,Male,5129,22014.6613,6.115183694444444,4.29219366348216,4.226,1.2592905780640116,1.8108,13.1222,11,12,train
F1,Female,5128,21727.500500000002,6.035416805555556,4.237032078783152,4.16235,2.19129113017912,1.6227,135.3505,11,6,train
M7,Male,5128,20743.3148,5.762031888888889,4.045108190327613,3.9758,1.240182698690585,1.5848,11.7338,11,10,train
F4,Female,5128,26169.8926,7.269414611111111,5.103333190327613,4.9569,1.6706459635143727,1.5617,23.6717,11,8,train
F5,Female,5128,23081.945,6.411651388888889,4.501159321372855,4.4059,1.2295550786842866,1.7038,9.65,11,4,train
F6,Female,5127,24349.9463,6.763873972222222,4.749355627072362,4.667,1.350378244592102,1.8128,12.8038,11,4,train
M6,Male,5127,27610.829800000003,7.669674944444445,5.385377374683051,5.2808,1.6349248185744945,1.9607,14.2218,11,7,train
F2,Female,5127,27276.153700000003,7.576709361111112,5.320100195045836,5.044,3.3445659060368937,1.7828,206.4045,11,7,train
M10,Male,5126,24627.901299999998,6.8410836944444435,4.804506691377291,4.7010000000000005,1.838519882223422,1.6658,82.727,11,3,dev
F8,Female,5126,22726.521399999998,6.3129226111111105,4.433578111587982,4.3907,1.2254916012134502,1.6887,9.5297,11,6,train
M8,Female,5126,22350.128600000004,6.208369055555557,4.360149941474835,4.3369,1.2800672217070388,1.7888,9.6334,11,2,test
M3,Male,5125,23393.6602,6.498238944444444,4.5646166243902435,4.481,1.4151930009749587,1.7147,10.1707,11,2,dev
M5,Male,5125,23046.8168,6.401893555555556,4.496939863414634,4.4387,1.3400816561440803,1.6958,9.8326,11,3,dev
M4,Male,5125,22557.9337,6.266092694444445,4.401548039024391,4.3398,1.3357154539443261,1.6787,12.7086,11,0,test
M11,Male,5125,24379.4243,6.772062305555555,4.75696083902439,4.6137,1.4960894113698933,1.5828,11.621,11,4,train
M12,Male,5125,21423.267,5.9509075,4.180149658536585,4.134,1.2149744461764649,1.6838,8.8517,11,0,test
