word,count
yang,26500
kamu,24000
apakah,21017
saya,20000
ini,20000
jika,18016
di,14517
untuk,14500
sudah,14500
kita,13521
akan,12511
tolong,11517
lebih,10010
dengan,9523
ke,8500
bisa,8010
tidak,8000
kampus,6500
itu,6500
jadwal,6000
semua,5517
palembang,5500
belajar,5500
dan,5500
tugas,5000
waktu,4011
banyak,4010
ada,4006
sistem,4000
mahasiswa,4000
minggu,4000
dari,4000
buat,4000
bukan,4000
depan,3500
ruang,3500
hari,3500
dalam,3500
cara,3006
kegiatan,3000
hasil,3000
adalah,3000
warga,3000
apa,3000
sama,3000
setiap,3000
praktikum,3000
atur,3000
ambilkan,3000
bukankah,3000
pastikan,2517
tempat,2500
kota,2500
kuliah,2500
dosen,2500
lingkungan,2500
harus,2500
laboratorium,2500
menjadi,2500
masyarakat,2500
bisakah,2500
sesuai,2500
semakin,2500
program,2500
data,2500
publik,2500
jadwalkan,2500
dimana,2500
ayo,2500
siapa,2500
berapa,2500
baik,2017
lab,2006
mata,2000
sangat,2000
yakin,2000
bahwa,2000
akhir,2000
bagian,2000
membantu,2000
ingin,2000
pendidikan,2000
rumah,2000
robot,2000
langkah,2000
baru,2000
makanan,2000
menyelesaikan,2000
siswa,2000
berkurang,2000
resmi,2000
laporan,2000
belum,2000
secara,2000
dasar,2000
remote,2000
penghapus,2000
letakkan,2000
meja,2000
pada,2000
menyenangkan,2000
rakyat,2000
keluarga,1511
terus,1510
membutuhkan,1500
sedang,1500
kelompok,1500
memberikan,1500
hidup,1500
generasi,1500
ujian,1500
dilaksanakan,1500
tinggi,1500
topik,1500
konfirmasi,1500
memastikan,1500
tersedia,1500
dimatikan,1500
saat,1500
tamu,1500
indralaya,1500
sore,1500
bekerja,1500
udara,1500
sekolah,1500
jawab,1500
fakultas,1500
pagi,1500
kendali,1500
luar,1500
botol,1500
antarkan,1500
spidol,1500
pak,1500
cangkir,1500
jelaskan,1500
sebelum,1500
coba,1500
seharusnya,1500
hebat,1500
berhasil,1500
kapan,1500
jangan,1011
masalah,1006
bagaimana,1006
kontrol,1000
membangun,1000
positif,1000
mendukung,1000
proses,1000
perlu,1000
mengatur,1000
menjaga,1000
semester,1000
universitas,1000
satu,1000
perguruan,1000
menyediakan,1000
fasilitas,1000
kelas,1000
paham,1000
perpustakaan,1000
referensi,1000
menjelaskan,1000
benar,1000
telah,1000
capai,1000
selesai,1000
memproses,1000
mengulang,1000
instruksi,1000
saja,1000
berikan,1000
atau,1000
berikutnya,1000
pintu,1000
suhu,1000
periksa,1000
pengaturan,1000
elektronik,1000
ruangan,1000
lampu,1000
pertemuan,1000
tadi,1000
masih,1000
punya,1000
cepat,1000
mereka,1000
mendapat,1000
informasi,1000
meningkat,1000
meningkatkan,1000
mengajar,1000
efektif,1000
menerapkan,1000
tepat,1000
pihak,1000
pembangunan,1000
mengurangi,1000
jalanan,1000
segar,1000
diri,1000
tentang,1000
kesehatan,1000
memiliki,1000
sekitar,1000
siap,1000
tantangan,1000
kerja,1000
peduli,1000
diterima,1000
seminar,1000
terbaru,1000
terakhir,1000
memeriksa,1000
dokumen,1000
menyiram,1000
tanaman,1000
pengumuman,1000
mengunggah,1000
pelayanan,1000
ulu,1000
suka,1000
pedas,1000
bantuan,1000
rapat,1000
memahami,1000
materi,1000
anggaran,1000
hanya,1000
pemerintah,1000
mendapatkan,1000
tanggung,1000
kendaraan,1000
siapkan,1000
agenda,1000
pengingat,1000
sosial,1000
bulan,1000
presentasi,1000
tunjukkan,1000
minum,1000
firdaus,1000
keselamatan,1000
