category,n_files,total_duration_sec,total_duration_min,total_duration_hour,mean_duration_sec,median_duration_sec,min_duration_sec,max_duration_sec,stddev_duration_sec
Kalimat_Deklaratif,9500,38512.71,641.88,10.698,4.054,3.8798,2.1568,11.2457,0.8857
Kalimat_Klarifikasi,9500,49718.03,828.63,13.8106,5.2335,5.126,2.408,14.67,0.9046
Kalimat_Kondisional,9500,57480.31,958.01,15.9668,6.0506,5.9035,2.437,15.758,1.1863
Kalimat_Konfirmasi,9500,53280.64,888.01,14.8002,5.6085,5.514,2.467,12.435,0.9609
Kalimat_Negasi,9500,33955.3,565.92,9.432,3.5742,3.5507,1.6287,7.9698,0.8596
Kalimat_Penjadwalan,9500,47211.2,786.85,13.1142,4.9696,4.777,2.584,206.4045,2.2448
Kalimat_Perintah,9500,28117.2,468.62,7.8103,2.9597,2.6547,1.1507,82.727,1.2977
Kalimat_Persuasif,9500,61969.48,1032.82,17.2137,6.5231,6.3142,3.1827,18.7997,1.345
Kalimat_Retoris,9500,37483.63,624.73,10.4121,3.9456,3.9188,1.6598,15.0337,1.02
Kalimat_Seruan,9500,32555.67,542.59,9.0432,3.4269,3.3287,1.7087,23.6717,0.7705
Kalimat_Tanya,9500,42789.74,713.16,11.886,4.5042,4.3495,2.425,135.3505,1.5984
