respondent,n_files,total_duration_sec,total_duration_min,total_duration_hour,mean_duration_sec,median_duration_sec,min_duration_sec,max_duration_sec,stddev_duration_sec
Afgan,5225,20776.1,346.27,5.7711,3.9763,3.98,1.6758,9.0478,1.1668
Ammar,5225,23514.92,391.92,6.5319,4.5005,4.512,1.6898,13.1056,1.299
Amri,5225,24057.01,400.95,6.6825,4.6042,4.506,1.7147,10.8277,1.4534
Anggi,5225,22291.0,371.52,6.1919,4.2662,4.181,1.6227,135.3505,2.1912
Atika,5225,28016.1,466.93,7.7822,5.3619,5.065,1.7828,206.4045,3.3511
Baron,5225,23182.7,386.38,6.4396,4.4369,4.3628,1.6787,12.7086,1.3681
Bey,5225,25944.67,432.41,7.2069,4.9655,4.816,1.6998,16.6077,1.5286
Elisa,5225,26863.78,447.73,7.4622,5.1414,4.971,1.5617,23.6717,1.7087
Erlin,5225,23692.74,394.88,6.5813,4.5345,4.4207,1.7038,9.65,1.2673
FIto,475,3150.19,52.5,0.8751,6.632,6.58,3.845,9.658,0.9475
Fajar,5225,23686.36,394.77,6.5795,4.5333,4.4527,1.6958,10.0147,1.3767
Fito,4750,25214.72,420.25,7.0041,5.3084,5.1254,1.9607,14.4558,1.6885
Harry,5225,21305.52,355.09,5.9182,4.0776,3.988,1.5848,18.7997,1.2825
Indah,5225,24994.76,416.58,6.943,4.7837,4.6798,1.8128,12.8038,1.3842
Joni,5225,22972.17,382.87,6.3812,4.3966,4.356,1.7888,9.6334,1.3145
Muhaimin,5225,22598.99,376.65,6.2775,4.3252,4.243,1.8108,13.1222,1.2901
Nanda,5225,25080.73,418.01,6.9669,4.8001,4.702,1.6987,11.5938,1.4538
Pram,5225,25330.68,422.18,7.0363,4.848,4.721,1.6658,82.727,1.8728
Risky,5225,25047.54,417.46,6.9577,4.7938,4.6357,1.1507,11.621,1.5305
Robi,5225,22011.92,366.87,6.1144,4.2128,4.1487,1.6838,8.8517,1.2435
Uly,5225,23341.3,389.02,6.4837,4.4672,4.405,1.6887,9.5297,1.2571
