category,n_files,hours,mean_dur_s,mean_chars,mean_words,n_synthetic
Kalimat_Deklaratif,9500,10.6981,4.054,60.5,8.05,2
Kalimat_Klarifikasi,9500,13.8089,5.233,65.5,9.68,9
Kalimat_Kondisional,9010,14.917,5.96,79.5,11.11,16
Kalimat_Konfirmasi,9017,13.9776,5.58,72.0,10.22,29
Kalimat_Negasi,9500,9.4318,3.574,53.5,7.16,11
Kalimat_Penjadwalan,9500,13.1122,4.969,57.9,8.26,4
Kalimat_Perintah,9500,7.8119,2.96,38.4,6.05,15
Kalimat_Persuasif,9011,16.0872,6.427,107.1,15.44,16
Kalimat_Retoris,9500,10.4137,3.946,63.6,8.63,17
Kalimat_Seruan,9500,9.0423,3.427,45.7,6.42,3
Kalimat_Tanya,9006,11.3542,4.539,46.4,6.83,10
