speaker_id,gender,n_files,hours,mean_dur_s
Afgan,Male,5129,5.6195,3.944
Ammar,Male,5132,6.3698,4.468
Amri,Male,5125,6.4982,4.565
Anggi,Female,5128,6.0354,4.237
Atika,Female,5127,7.5767,5.32
Baron,Male,5125,6.2661,4.402
Bey,Female,5129,7.0196,4.927
Elisa,Female,5128,7.2694,5.103
Erlin,Female,5128,6.4117,4.501
Fajar,Male,5125,6.4019,4.497
Fito,Male,5127,7.6697,5.385
Harry,Male,5128,5.762,4.045
Indah,Female,5127,6.7639,4.749
Joni,Female,5126,6.2084,4.36
Muhaimin,Male,5129,6.1152,4.292
Nanda,Female,5129,6.7904,4.766
Pram,Male,5126,6.8411,4.805
Risky,Male,5125,6.7721,4.757
Robi,Male,5125,5.9509,4.18
Uly,Female,5126,6.3129,4.434
