rank,word,freq
1,yang,26500
2,kamu,24000
3,apakah,21017
4,saya,19500
5,jika,18016
6,di,14517
7,untuk,14500
8,sudah,14500
9,kita,13021
10,akan,12511
11,ini,12000
12,tolong,11517
13,lebih,10010
14,dengan,9523
15,ke,8500
16,bisa,8010
17,tidak,8000
18,jadwal,6000
19,semua,5517
20,dan,5500
21,tugas,5000
22,itu,5000
23,palembang,4500
24,belajar,4500
25,kampus,4500
26,sistem,4000
27,minggu,4000
28,dari,4000
29,bukan,4000
30,banyak,3510
31,ini?,3500
32,ruang,3500
33,buat,3500
34,waktu,3011
35,ada,3006
36,cara,3006
37,mahasiswa,3000
38,kegiatan,3000
39,adalah,3000
40,apa,3000
41,setiap,3000
42,atur,3000
43,ambilkan,3000
44,!,3000
45,dalam,3000
46,bukankah,3000
47,pastikan,2517
48,tempat,2500
49,kuliah,2500
50,dosen,2500
51,harus,2500
52,menjadi,2500
53,masyarakat,2500
54,warga,2500
55,bisakah,2500
56,hasil,2500
57,sesuai,2500
58,semakin,2500
59,program,2500
60,hari,2500
61,jadwalkan,2500
62,dimana,2500
63,"ayo,",2500
64,siapa,2500
65,berapa,2500
66,kota,2000
67,mata,2000
68,sangat,2000
69,yakin,2000
70,bahwa,2000
71,akhir,2000
72,laboratorium,2000
73,bagian,2000
74,membantu,2000
75,ingin,2000
76,pendidikan,2000
77,"robot,",2000
78,"ini,",2000
79,makanan,2000
80,menyelesaikan,2000
81,depan.,2000
82,berkurang.,2000
83,data,2000
84,publik,2000
85,laporan,2000
86,belum,2000
87,praktikum,2000
88,secara,2000
89,dasar,2000
90,remote,2000
91,penghapus,2000
92,letakkan,2000
93,lab,2000
94,pada,2000
95,terus,1510
96,membutuhkan,1500
97,sedang,1500
98,kelompok,1500
99,memberikan,1500
100,lingkungan,1500
101,hidup,1500
102,generasi,1500
103,ujian,1500
104,dilaksanakan,1500
105,depan,1500
106,topik,1500
107,rumah,1500
108,konfirmasi,1500
109,ini.,1500
110,memastikan,1500
111,sama,1500
112,saat,1500
113,tamu,1500
114,bekerja,1500
115,udara,1500
116,resmi,1500
117,jawab,1500
118,pagi,1500
119,keluarga,1500
120,luar,1500
121,botol,1500
122,antarkan,1500
123,spidol,1500
124,pak,1500
125,cangkir,1500
126,jelaskan,1500
127,sebelum,1500
128,meja,1500
129,coba,1500
130,seharusnya,1500
131,berhasil,1500
132,kampus?,1500
133,kapan,1500
134,baik,1017
135,jangan,1011
136,masalah,1006
137,bagaimana,1006
138,kontrol.,1000
139,mendukung,1000
140,proses,1000
141,perlu,1000
142,mengatur,1000
143,menjaga,1000
144,universitas,1000
145,satu,1000
146,perguruan,1000
147,tinggi,1000
148,palembang.,1000
149,menyediakan,1000
150,fasilitas,1000
151,kelas,1000
152,paham,1000
153,perpustakaan,1000
154,referensi,1000
155,menjelaskan,1000
156,telah,1000
157,capai,1000
158,selesai,1000
159,memproses,1000
160,tersedia?,1000
161,mengulang,1000
162,instruksi,1000
163,baru,1000
164,saja,1000
165,atau,1000
166,berikutnya?,1000
167,pintu,1000
168,suhu,1000
169,periksa,1000
170,pengaturan,1000
171,elektronik,1000
172,ruangan,1000
173,lampu,1000
174,dimatikan.,1000
175,pertemuan,1000
176,tadi?,1000
177,indralaya,1000
178,sore,1000
179,masih,1000
180,punya,1000
181,"waktu,",1000
182,baru.,1000
183,cepat,1000
184,mereka,1000
185,mendapat,1000
186,informasi,1000
187,meningkat.,1000
188,meningkatkan,1000
189,mengajar,1000
190,efektif.,1000
191,menerapkan,1000
192,siswa,1000
193,tepat,1000
194,pihak,1000
195,pembangunan,1000
196,mengurangi,1000
197,jalanan,1000
198,"lingkungan,",1000
199,segar.,1000
200,diri,1000
201,tentang,1000
202,memiliki,1000
203,sekitar,1000
204,siap,1000
205,tantangan,1000
206,peduli,1000
207,seminar,1000
208,memeriksa,1000
209,dokumen,1000
210,menyiram,1000
211,tanaman,1000
212,pengumuman,1000
213,mahasiswa?,1000
214,mengunggah,1000
215,pelayanan,1000
216,suka,1000
217,bantuan,1000
218,rapat,1000
219,memahami,1000
220,materi,1000
221,anggaran,1000
222,hanya,1000
223,pemerintah,1000
224,mendapatkan,1000
225,tanggung,1000
226,kendaraan,1000
227,siapkan,1000
228,agenda,1000
