category,n_synth,category_total,pct_of_category,pct_of_all_synth,synth_seconds,voice_male,voice_female,n_train,n_dev,n_test,n_v7_initial,n_v7_residual_fix,quality_mean,quality_min
Kalimat_Deklaratif,2,9500,0.0211,1.52,8.9,1,1,2,0,0,2,0,1.0,1.0
Kalimat_Klarifikasi,9,9500,0.0947,6.82,44.93,2,7,9,0,0,9,0,0.9886,0.9489
Kalimat_Kondisional,16,9010,0.1776,12.12,94.32,9,7,16,0,0,14,2,1.0,1.0
Kalimat_Konfirmasi,29,9017,0.3216,21.97,156.62,11,18,25,2,2,28,1,0.9878,0.9553
Kalimat_Negasi,11,9500,0.1158,8.33,38.52,8,3,10,1,0,10,1,1.0,1.0
Kalimat_Penjadwalan,4,9500,0.0421,3.03,14.93,3,1,3,1,0,4,0,0.9873,0.9493
Kalimat_Perintah,15,9500,0.1579,11.36,48.36,13,2,13,2,0,12,3,0.9894,0.9101
Kalimat_Persuasif,16,9011,0.1776,12.12,101.28,9,7,16,0,0,15,1,1.0,1.0
Kalimat_Retoris,17,9500,0.1789,12.88,74.83,10,7,15,2,0,17,0,1.0,1.0
Kalimat_Seruan,3,9500,0.0316,2.27,10.73,1,2,3,0,0,3,0,1.0,1.0
Kalimat_Tanya,10,9006,0.111,7.58,39.1,6,4,10,0,0,10,0,0.9886,0.943
