model,mode,family,wer,cer,mer,wil,val_loss,train_loss,gpu_mb,time_str,throughput
m01-whisper-tiny,FT,encoder-decoder,0.5403726708074534,0.12479338842975207,0.5058139534883721,0.7344628615531625,2.4081668853759766,3.8628,1093.1,00:00:07,6.54
m02-whisper-small,FT★,encoder-decoder,0.1652892561983471,0.028634361233480177,0.16260162601626016,0.28717328495599004,2.042631149291992,3.9595,5812.0,00:00:10,2.87
m03-w2v2-xlsr-300m,FT,CTC,1.0,0.983370288248337,1.0,1.0,8.530484199523926,7.0527,5639.8,00:00:06,4.92
m04-cahya-w2v2-id,FT,CTC,0.39669421487603307,0.082039911308204,0.35294117647058826,0.5259259259259259,0.3808555006980896,1.2454,5435.6,00:00:04,6.16
m05-mms-1b-adapter,FT-adapter,CTC,1.024793388429752,1.8647450110864745,1.0,1.0,8.68901252746582,10.6596,6858.7,00:00:10,2.8
m06-conformer-ctc,scratch,CTC,1.0,1.0,1.0,1,2.9232852458953857,2.988244652748108,348.2,00:00:03,8.68
m07-bilstm-ctc,scratch,CTC,1.0,1.0,1.0,1,4.967338562011719,3.6425538659095764,240.4,00:00:01,27.54
zs-whisper-medium,zero-shot,encoder-decoder,0.1557377049180328,0.03452054794520548,0.1557377049180328,0.2842879309181676,,,1617.8,00:00:16,1.85
zs-whisper-large-v3,zero-shot,encoder-decoder,0.14754098360655737,0.030684931506849315,0.14754098360655737,0.27032314646158007,,,3201.8,00:00:25,1.17
zs-mms-1b-all,zero-shot,CTC,0.3360655737704918,0.06684931506849315,0.3333333333333333,0.5482397205052405,,,3900.5,00:00:03,9.03
